,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,21.92,0.00,0.18,1.49,9.33,44.667,12.806,tx rx 50%,500,6.28,400.000,68.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,19.76,-1.94,2.07,0.99,0.66,0.72,0.61,0.50,0.47,0.44,0.40,0.39,0.37,0.34,0.31,0.30,0.27,0.24,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,6,0,0.439,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.29,22.0,13.03,29.9,2/21/2026 8:09:06 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,15.02,11.05,1.65,-0.40,-49.97,46.620,19.507,tx rx 50%,500,6.28,400.000,-26.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,18.11,-3.58,0.25,-0.91,-1.28,-1.25,-1.35,-1.42,-1.47,-1.52,-1.55,-1.57,-1.59,-1.59,-1.60,-1.61,-1.59,-1.59,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.313,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.30,22.0,13.02,29.9,2/21/2026 8:09:11 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,4.39,8.31,1.08,0.39,-17.30,48.318,69.145,tx rx 50%,500,6.28,400.000,88.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,19.20,-2.85,1.17,-0.01,-0.40,-0.39,-0.51,-0.61,-0.69,-0.75,-0.80,-0.84,-0.87,-0.89,-0.91,-0.94,-0.97,-0.98,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,19,1,0.274,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.29,22.0,13.03,29.9,2/21/2026 8:09:18 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,4.14,26.00,3.43,-4.85,-63.09,45.438,68.920,tx rx 50%,500,6.28,400.000,-1171.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,13.93,-8.57,-4.60,-5.72,-6.07,-6.01,-6.04,-6.05,-6.03,-6.02,-5.99,-5.93,-5.88,-5.81,-5.74,-5.67,-5.62,-5.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,12,1,0.173,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.30,22.0,13.02,29.9,2/21/2026 8:09:26 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,4.18,26.97,4.21,-4.80,-31.00,40.287,60.563,tx rx 50%,500,6.28,400.000,-1147.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,13.15,-7.99,-4.39,-5.50,-5.89,-5.86,-5.92,-5.95,-5.95,-5.96,-5.94,-5.89,-5.84,-5.79,-5.73,-5.68,-5.63,-5.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.088,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.31,22.0,13.03,29.9,2/21/2026 8:09:33 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,4.03,36.71,5.93,-7.89,-78.12,34.011,53.061,tx rx 50%,500,6.28,400.000,-1959.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,9.93,-11.41,-7.77,-8.89,-9.21,-9.13,-9.15,-9.13,-9.10,-9.05,-8.97,-8.89,-8.80,-8.69,-8.60,-8.51,-8.39,-8.27,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,4,0,0.082,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.31,22.0,13.03,29.9,2/21/2026 8:09:40 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,4.71,9.40,2.11,6.22,39.75,31.111,41.515,tx rx 50%,500,6.28,400.000,1321.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,25.27,5.51,8.34,6.94,6.30,6.04,5.70,5.38,5.13,4.90,4.67,4.47,4.29,4.11,3.95,3.80,3.64,3.51,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.079,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.30,22.0,13.03,29.9,2/21/2026 8:09:47 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,4.85,8.02,2.02,2.31,26.47,29.435,38.095,tx rx 50%,500,6.28,400.000,475.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,21.30,1.02,4.02,2.66,2.04,1.85,1.60,1.35,1.14,0.97,0.82,0.70,0.59,0.46,0.36,0.29,0.23,0.16,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.072,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.31,22.0,13.03,29.9,2/21/2026 8:09:54 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,6.21,22.66,4.65,-2.34,-49.27,21.267,21.518,tx rx 50%,500,6.28,400.000,-377.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,15.52,-4.65,-1.53,-2.73,-3.17,-3.22,-3.36,-3.48,-3.55,-3.59,-3.61,-3.59,-3.58,-3.58,-3.55,-3.53,-3.51,-3.46,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.131,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.31,22.0,13.03,29.9,2/21/2026 8:10:01 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,5.00,26.38,4.70,-4.84,-75.71,29.611,37.205,tx rx 50%,500,6.28,400.000,-968.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,12.06,-7.73,-4.44,-5.55,-5.90,-5.85,-5.92,-5.98,-5.96,-5.95,-5.93,-5.90,-5.84,-5.77,-5.72,-5.67,-5.61,-5.56,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.088,00.000000,00.000000,,0:/DATA/Slb_24All_21feb2026.rpp,1,0,13.31,22.0,13.02,29.9,2/21/2026 8:10:08 PM,0,1,0,0.0,0.00,0.0
