TOA5,1,CR300,21814,CR310.Std.11.01,CPU:redox_GW_deployed.CR300,16684,Table1,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Avg,potential_Avg(1),potential_Avg(2),depth_Avg,temperature_Avg,EC_Avg
TS,RN,Volts,Deg C,mV,mV,mm,C,us/cm
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg
12/14/24 15:45,0,12.97,20.1,100.5,152.4,319.4,14,12926.9
12/14/24 16:00,1,13.14,19.83,93.1,187.1,321.6667,14,12860.07
12/14/24 16:15,2,13.17,18.63,74.8,187.2,321.2667,14,12792.2
12/14/24 16:30,3,12.73,17.27,57.85,183.6,321.7333,14,12730.4
12/14/24 16:45,4,13.02,14.93,41.27,179.2,322.7333,14,12669.73
12/14/24 17:00,5,13.16,13.58,17.35,149.2,322.8667,14.02667,12574.93
12/14/24 17:15,6,12.83,12.14,NAN,NAN,322.75,14,12528.5
12/14/24 17:45,7,12.58,10.69,NAN,NAN,323.7143,14.02857,12405.29
12/14/24 18:00,8,12.53,10.28,NAN,NAN,323.6,14.05333,12305
12/14/24 18:15,9,12.49,10.3,NAN,NAN,324,14.05333,12279.27
12/14/24 18:30,10,12.5,10.25,NAN,NAN,323.6,14.08667,12193.87
12/14/24 18:45,11,12.5,10.43,NAN,NAN,322.2667,14.03333,12103
12/14/24 19:00,12,12.5,10.44,NAN,NAN,321.2,14.01333,12141.67
12/14/24 19:15,13,12.49,10.26,NAN,NAN,319.8667,14.01333,12114.8
12/14/24 19:30,14,12.47,9.76,NAN,NAN,320.7333,14.1,12025.2
12/14/24 19:45,15,12.45,9.23,NAN,NAN,320.1333,14.02667,11933.8
12/14/24 20:00,16,12.46,8.93,NAN,NAN,319.3333,14,11913.93
12/14/24 20:15,17,12.45,9.03,NAN,NAN,317.5333,14,11862.87
12/14/24 20:30,18,12.43,9.4,NAN,NAN,318.5333,14.01333,11772.07
12/14/24 20:45,19,12.41,9.85,NAN,NAN,315.6667,14,11734.07
12/14/24 21:00,20,12.43,10.08,NAN,NAN,313.9333,14,11703.73
12/14/24 21:15,21,12.46,10.02,NAN,NAN,312.2,14,11616.27
12/14/24 21:30,22,12.48,9.86,NAN,NAN,311.1333,14,11594.07
12/14/24 21:45,23,12.48,10.02,NAN,NAN,309.9333,14,11560.4
12/14/24 22:00,24,12.47,10.34,NAN,NAN,310.3333,14,11501.53
12/14/24 22:15,25,12.45,10.08,NAN,NAN,308.4667,14,11466.27
12/14/24 22:30,26,12.45,9.32,NAN,NAN,308.8,14,11399.2
12/14/24 22:45,27,12.45,8.58,NAN,NAN,306.1333,14,11373.47
12/14/24 23:00,28,12.44,8.13,NAN,NAN,305.5333,14,11319.8
12/14/24 23:15,29,12.44,7.821,NAN,NAN,304.7333,14,11258.33
12/14/24 23:30,30,12.44,7.59,NAN,NAN,304.1333,14,11221.93
12/14/24 23:45,31,12.42,7.357,NAN,NAN,302.8,14,11214.47
12/15/24 0:00,32,12.42,7.47,NAN,NAN,302.8667,14,11212.4
12/15/24 0:15,33,12.41,8.4,NAN,NAN,302.1333,14,11189.8
12/15/24 0:30,34,12.41,8.88,NAN,NAN,302.2667,14,11153.93
12/15/24 0:45,35,12.42,8.5,NAN,NAN,302.1333,14,11127.73
12/15/24 1:00,36,12.4,7.726,NAN,NAN,302.8667,14,11103.8
12/15/24 1:15,37,12.4,7.193,NAN,NAN,302.3333,14,11076.27
12/15/24 1:30,38,12.39,6.761,NAN,NAN,302.9333,14.06667,11004.2
12/15/24 1:45,39,12.39,6.404,NAN,NAN,304.2667,14.03333,10994.6
12/15/24 2:00,40,12.38,6.519,NAN,NAN,303.5333,14.09333,10983.13
12/15/24 2:15,41,12.37,6.726,NAN,NAN,303.6,14.1,10965.07
12/15/24 2:30,42,12.37,6.628,NAN,NAN,304.5333,14.1,10944.6
12/15/24 2:45,43,12.36,6.204,NAN,NAN,305.8,14.1,10903.27
12/15/24 3:00,44,12.36,5.868,NAN,NAN,307.1333,14.1,10886.33
12/15/24 3:15,45,12.35,6.152,NAN,NAN,307.6,14.1,10818.2
12/15/24 3:30,46,12.35,6.266,NAN,NAN,309.2,14.15333,10780.93
12/15/24 3:45,47,12.34,5.88,NAN,NAN,310.6,14.12,10766.87
12/15/24 4:00,48,12.33,5.418,NAN,NAN,311.8,14.18667,10720.07
12/15/24 4:15,49,12.33,5.328,NAN,NAN,313.3333,14.2,10721.13
12/15/24 4:30,50,12.34,5.398,NAN,NAN,314.4667,14.2,10685.47
12/15/24 4:45,51,12.33,5.403,NAN,NAN,314.0667,14.2,10663.4
12/15/24 5:00,52,12.33,5.28,NAN,NAN,316.6667,14.2,10585.33
12/15/24 5:15,53,12.32,5.041,NAN,NAN,318.4667,14.2,10545.67
12/15/24 5:30,54,12.32,4.847,NAN,NAN,318.8667,14.2,10550.93
12/15/24 5:45,55,12.31,4.735,NAN,NAN,318.9333,14.2,10495.6
12/15/24 6:00,56,12.3,4.529,NAN,NAN,321.3333,14.2,10486
12/15/24 6:15,57,12.3,4.316,NAN,NAN,323.8667,14.22667,10475.67
12/15/24 6:30,58,12.3,4.165,NAN,NAN,323.4667,14.2,10450.47
12/15/24 6:45,59,12.29,4.078,NAN,NAN,324.8667,14.24,10404.27
12/15/24 7:00,60,12.29,4.115,NAN,NAN,325.6,14.24,10343
12/15/24 7:15,61,12.28,4.126,NAN,NAN,326.2667,14.28667,10315.73
12/15/24 7:30,62,12.28,4.105,NAN,NAN,325.9333,14.26,10323.73
12/15/24 7:45,63,12.28,4.038,NAN,NAN,327.8,14.28,10295
12/15/24 8:00,64,12.27,4.069,NAN,NAN,328.4,14.29333,10291.13
12/15/24 8:15,65,12.27,4.257,NAN,NAN,327.8,14.22,10219
12/15/24 8:30,66,12.26,4.751,NAN,NAN,326.6667,14.20667,10169.87
12/15/24 8:45,67,12.25,5.577,NAN,NAN,326.4667,14.2,10117.67
12/15/24 9:00,68,12.26,6.614,NAN,NAN,326,14.2,10038.27
12/15/24 9:15,69,12.26,8.56,NAN,NAN,324.6,14.2,9970.533
12/15/24 9:30,70,12.25,11.89,NAN,NAN,325.3333,14.2,9941.2
12/15/24 9:45,71,12.26,14.83,NAN,NAN,326,14.2,9938.733
12/15/24 10:00,72,12.26,17.1,NAN,NAN,326.4,14.2,9872.4
12/15/24 10:15,73,12.26,18.12,NAN,NAN,326.6667,14.22,9866.866
12/15/24 10:30,74,12.26,18.36,NAN,NAN,326.8,14.2,9848
12/15/24 10:45,75,12.27,18.96,NAN,NAN,325.9333,14.2,9843.2
12/15/24 11:00,76,12.26,19.78,NAN,NAN,322.9333,14.2,9810.866
12/15/24 11:15,77,12.26,20.44,NAN,NAN,322.2,14.2,9816.066
12/15/24 11:30,78,12.26,20.66,NAN,NAN,323.1333,14.2,9736.733
12/15/24 11:45,79,12.26,20.76,NAN,NAN,322.4,14.2,9780.8
12/15/24 12:00,80,12.25,20.93,NAN,NAN,324.7333,14.2,9742.8
12/15/24 12:15,81,12.26,20.29,NAN,NAN,324.3333,14.2,9664.533
12/15/24 12:30,82,12.25,19.73,NAN,NAN,324.6667,14.2,9666.6
12/15/24 12:45,83,12.24,19.8,NAN,NAN,325.2,14.2,9625.934
12/15/24 13:00,84,12.25,20.98,NAN,NAN,325.4,14.2,9620.866
12/15/24 13:15,85,12.25,20.65,NAN,NAN,326.6,14.2,9584.934
12/15/24 13:30,86,12.25,20.25,NAN,NAN,328.0667,14.2,9565.733
12/15/24 13:45,87,12.24,21.49,NAN,NAN,325.3333,14.2,9564.066
12/15/24 14:00,88,12.24,23.1,NAN,NAN,326.8667,14.2,9516.066
12/15/24 14:15,89,12.25,23.4,NAN,NAN,325.5333,14.2,9475.866
12/15/24 14:30,90,12.24,23.83,NAN,NAN,327.4667,14.2,9455.267
12/15/24 14:45,91,12.24,25.04,NAN,NAN,329.1333,14.2,9457.066
12/15/24 15:00,92,12.24,25.7,NAN,NAN,328.2,14.2,9426.066
12/15/24 15:15,93,12.24,25.19,NAN,NAN,328.8667,14.2,9417.667
12/15/24 15:30,94,12.24,24.44,NAN,NAN,329,14.2,9372.267
12/15/24 15:45,95,12.23,23.65,NAN,NAN,329.8,14.2,9415.333
12/15/24 16:00,96,12.22,22.97,NAN,NAN,330.9333,14.2,9373.4
12/15/24 16:15,97,12.22,22.35,NAN,NAN,331.4667,14.20667,9354.8
12/15/24 16:30,98,12.21,22.14,NAN,NAN,331.8667,14.25333,9331.6
12/15/24 16:45,99,12.22,21.63,NAN,NAN,332.1333,14.26667,9366.733
