"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"2/21/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.7","34.2","3079","8140","Active"
"2/21/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","14.8","34","3074","8184","Active"
"2/20/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.7","34.1","3074","8155","Active"
"2/20/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.1","3074","8162","Active"
"2/20/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.6","34.1","3070","8149","Active"
"2/19/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","14.6","34","3079","8186","Active"
"2/19/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","14.5","34","3070","8171","Active"
"2/19/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.5","34.2","3074","8136","Active"
"2/18/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","14.4","34.1","3070","8152","Active"
"2/18/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.2","3065","8118","Active"
"2/18/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","14.3","34.1","3065","8138","Active"
"2/17/2026 4:00:00 PM","19009393","Active 3 Deep","47.2","14.2","33.9","3060","8181","Active"
"2/17/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","14.2","34","3060","8148","Active"
"2/17/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","14.1","34.1","3056","8120","Active"
"2/16/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","14","34","3056","8133","Active"
"2/16/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","14","34.1","3046","8088","Active"
"2/16/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","13.9","33.9","3046","8125","Active"
"2/15/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.8","34.1","3042","8061","Active"
"2/15/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","13.7","34.1","3042","8081","Active"
"2/15/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.7","34.1","3037","8054","Active"
"2/14/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","13.6","34","3032","8068","Active"
"2/14/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","13.6","34","3032","8081","Active"
"2/14/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.5","34.1","3023","8017","Active"
"2/13/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","13.4","34","3018","8036","Active"
"2/13/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.4","34.2","3014","7985","Active"
"2/13/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","13.4","34.1","3014","7990","Active"
"2/12/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.3","34.1","3014","7990","Active"
"2/12/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13.3","34.1","3009","7990","Active"
"2/12/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","13.2","33.9","3009","8030","Active"
"2/11/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","13.1","34.1","3005","7975","Active"
"2/11/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","13","34.1","3000","7966","Active"
"2/11/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","13","34","3000","7986","Active"
"2/10/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.9","34","2995","7974","Active"
"2/10/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.9","34","2991","7968","Active"
"2/10/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","12.8","34.1","2986","7932","Active"
"2/9/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.7","34","2991","7960","Active"
"2/9/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","12.6","34.1","2986","7917","Active"
"2/9/2026 12:00:00 AM","19009393","Active 3 Deep","47.4","12.6","34.1","2982","7915","Active"
"2/8/2026 4:00:00 PM","19009393","Active 3 Deep","47.4","12.5","34.1","2982","7906","Active"
"2/8/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.5","34.1","2977","7911","Active"
"2/8/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","12.4","34.1","2977","7907","Active"
"2/7/2026 4:00:00 PM","19009393","Active 3 Deep","47.2","12.3","33.9","2977","7956","Active"
"2/7/2026 8:00:00 AM","19009393","Active 3 Deep","47.4","12.3","34.1","2973","7885","Active"
"2/7/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","12.2","34","2968","7907","Active"
"2/6/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12.2","34","2973","7920","Active"
"2/6/2026 8:00:00 AM","19009393","Active 3 Deep","47.3","12.2","34","2968","7898","Active"
"2/6/2026 12:00:00 AM","19009393","Active 3 Deep","47.3","12.1","34","2968","7892","Active"
"2/5/2026 4:00:00 PM","19009393","Active 3 Deep","47.3","12","34.1","2959","7862","Active"
