"Time","#","Name","Reading1","Reading2","Reading3","Reading4","Reading5","DataSnap"
"2/21/2026 8:00:00 AM","19009978","Active 1 Shallow","44.7","8.3","30.4","4153","12547","Active"
"2/21/2026 12:00:00 AM","19009978","Active 1 Shallow","45.6","11.4","31.6","4441","12840","Active"
"2/20/2026 4:00:00 PM","19009978","Active 1 Shallow","45.7","13.3","31.7","4450","12842","Active"
"2/20/2026 8:00:00 AM","19009978","Active 1 Shallow","45.1","9.6","30.9","4467","13263","Active"
"2/20/2026 12:00:00 AM","19009978","Active 1 Shallow","45.7","13.1","31.8","4724","13576","Active"
"2/19/2026 4:00:00 PM","19009978","Active 1 Shallow","47","17.3","33.6","4802","12944","Active"
"2/19/2026 8:00:00 AM","19009978","Active 1 Shallow","45.8","13.1","31.9","4667","13345","Active"
"2/19/2026 12:00:00 AM","19009978","Active 1 Shallow","46.6","14.5","33","4753","13075","Active"
"2/18/2026 4:00:00 PM","19009978","Active 1 Shallow","47.4","16.9","34.1","4783","12683","Active"
"2/18/2026 8:00:00 AM","19009978","Active 1 Shallow","46.7","12.8","33.1","4630","12711","Active"
"2/18/2026 12:00:00 AM","19009978","Active 1 Shallow","47.1","15","33.7","4773","12836","Active"
"2/17/2026 4:00:00 PM","19009978","Active 1 Shallow","47.1","15.1","33.7","4763","12809","Active"
"2/17/2026 8:00:00 AM","19009978","Active 1 Shallow","46.9","13.4","33.5","4715","12777","Active"
"2/17/2026 12:00:00 AM","19009978","Active 1 Shallow","47.1","14.3","33.8","4862","13049","Active"
"2/16/2026 4:00:00 PM","19009978","Active 1 Shallow","47.6","16","34.4","4954","13005","Active"
"2/16/2026 8:00:00 AM","19009978","Active 1 Shallow","46.7","11.2","33.1","4744","13018","Active"
"2/16/2026 12:00:00 AM","19009978","Active 1 Shallow","47.3","13.6","34.1","5060","13445","Active"
"2/15/2026 4:00:00 PM","19009978","Active 1 Shallow","48","16.5","35.1","5586","14355","Active"
"2/15/2026 8:00:00 AM","19009978","Active 1 Shallow","48.6","13.1","36","6477","16180","Active"
"2/14/2026 4:00:00 PM","19009978","Active 1 Shallow","46.6","16.3","33","4575","12595","Active"
"2/14/2026 8:00:00 AM","19009978","Active 1 Shallow","45.9","14","32","4432","12651","Active"
"2/14/2026 12:00:00 AM","19009978","Active 1 Shallow","46.5","14.7","32.8","4485","12435","Active"
"2/13/2026 4:00:00 PM","19009978","Active 1 Shallow","46","14.9","32.1","4381","12452","Active"
"2/13/2026 8:00:00 AM","19009978","Active 1 Shallow","45","10.2","30.7","4176","12461","Active"
"2/13/2026 12:00:00 AM","19009978","Active 1 Shallow","45.5","12","31.5","4322","12547","Active"
"2/12/2026 4:00:00 PM","19009978","Active 1 Shallow","45.3","13.3","31.2","4248","12451","Active"
"2/12/2026 12:00:00 AM","19009978","Active 1 Shallow","44.1","10.2","29.7","4347","13513","Active"
"2/11/2026 4:00:00 PM","19009978","Active 1 Shallow","45.4","12.6","31.3","4305","12582","Active"
"2/11/2026 8:00:00 AM","19009978","Active 1 Shallow","44.4","8.5","30","4184","12850","Active"
