Latitude	Longitude	Altitude	Date	Time	DOP	Satelites	Cond.1 [mS/m]	Inph.1 [ppt]	Cond.2 [mS/m]	Inph.2 [ppt]	Cond.3 [mS/m]	Inph.3 [ppt]	Cond.4 [mS/m]	Inph.4 [ppt]	Cond.5 [mS/m]	Inph.5 [ppt]	Cond.6 [mS/m]	Inph.6 [ppt]	Note
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.14	3.70	5	249.37	2.13	64.71	2.90	30.94	3.23	29.20	3.80	32.04	5.08	36.64	6.09	
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.24	3.70	5	247.16	2.14	64.48	2.90	30.89	3.23	29.10	3.80	32.02	5.07	36.56	6.09	
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.33	3.70	5	249.58	2.14	64.56	2.90	30.95	3.23	29.15	3.81	31.99	5.06	36.74	6.10	
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.43	3.70	5	253.97	2.13	64.70	2.90	30.98	3.22	29.21	3.80	32.02	5.09	36.79	6.10	
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.53	3.70	5	260.72	2.11	64.86	2.90	31.03	3.22	29.21	3.79	32.14	5.09	36.79	6.11	
3500.1331N	09841.2851W	410.80	04/20/2025	01:53:08.63	3.70	5	267.36	2.09	65.04	2.90	31.11	3.22	29.28	3.79	32.13	5.08	36.89	6.08	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:08.73	3.70	5	276.28	2.07	65.22	2.90	31.14	3.22	29.25	3.79	32.08	5.07	36.80	6.07	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:08.83	3.70	5	283.89	2.06	65.42	2.90	31.25	3.22	29.29	3.79	32.20	5.06	36.90	6.09	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:08.93	3.70	5	285.28	2.06	65.52	2.90	31.33	3.22	29.39	3.79	32.33	5.07	37.01	6.11	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.03	3.70	5	286.19	2.06	65.56	2.90	31.34	3.22	29.38	3.79	32.31	5.08	36.63	6.09	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.13	3.70	5	287.54	2.06	65.65	2.90	31.37	3.22	29.36	3.79	32.20	5.07	36.59	6.08	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.22	3.70	5	289.03	2.05	65.73	2.90	31.38	3.22	29.32	3.79	32.22	5.08	36.81	6.08	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.35	3.70	5	289.97	2.05	65.74	2.90	31.39	3.22	29.36	3.80	32.31	5.07	36.82	6.10	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.43	3.70	5	290.51	2.05	65.72	2.90	31.34	3.21	29.32	3.79	32.30	5.07	36.81	6.11	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.53	3.70	5	290.09	2.06	65.67	2.89	31.27	3.22	29.24	3.78	32.22	5.06	36.77	6.10	
3500.1332N	09841.2852W	410.70	04/20/2025	01:53:09.63	3.70	5	286.68	2.07	65.46	2.90	31.26	3.21	29.28	3.79	32.11	5.07	36.97	6.07	
3500.1313N	09841.2843W	411.30	04/20/2025	01:53:09.73	3.70	5	279.68	2.09	64.95	2.90	31.14	3.22	29.23	3.79	32.03	5.07	37.14	6.07	
