,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,18.48,0.08,0.06,4.25,17.64,47.476,16.138,tx rx 50%,500,6.28,400.000,230.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,28.35,4.20,6.86,4.96,4.03,3.66,3.24,2.84,2.56,2.36,2.17,2.00,1.85,1.72,1.59,1.48,1.39,1.32,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,5,0,0.328,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.36,26.0,16.48,31.5,2025/06/19 15:17:14,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,16.65,6.04,1.13,3.13,123.68,46.594,17.586,tx rx 50%,500,6.28,400.000,188.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,27.19,2.97,5.63,3.75,2.83,2.42,1.98,1.68,1.45,1.23,1.04,0.91,0.78,0.65,0.56,0.48,0.42,0.37,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.398,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,26.0,16.48,31.5,2025/06/19 15:17:19,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,16.72,30.19,3.87,-2.99,-238.09,48.192,18.112,tx rx 50%,500,6.28,400.000,-178.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,20.50,-3.63,-0.95,-2.76,-3.61,-3.94,-4.31,-4.60,-4.73,-4.85,-4.96,-5.04,-5.09,-5.14,-5.17,-5.18,-5.17,-5.15,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.327,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.36,26.0,16.48,31.8,2025/06/19 15:17:26,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,19.26,5.18,1.03,2.84,75.36,46.561,15.190,tx rx 50%,500,6.28,400.000,147.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,27.74,3.01,5.53,3.54,2.57,2.15,1.71,1.33,1.02,0.78,0.62,0.47,0.33,0.21,0.11,0.04,-0.03,-0.10,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.375,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,26.0,16.48,31.8,2025/06/19 15:17:33,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,11.83,31.01,4.30,-5.63,-73.88,49.645,26.357,tx rx 50%,500,6.28,400.000,-475.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,18.40,-6.72,-3.94,-5.80,-6.67,-6.97,-7.22,-7.37,-7.48,-7.56,-7.58,-7.58,-7.58,-7.55,-7.52,-7.48,-7.42,-7.34,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,11,0,0.414,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,27.0,16.48,31.9,2025/06/19 15:17:40,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,19.95,50.72,6.26,-10.61,-20.52,45.530,14.339,tx rx 50%,500,6.28,400.000,-531.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,13.24,-11.38,-8.75,-10.61,-11.46,-11.77,-12.13,-12.37,-12.46,-12.54,-12.61,-12.64,-12.65,-12.64,-12.63,-12.60,-12.53,-12.45,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,5,0,0.380,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,27.0,16.48,32.2,2025/06/19 15:17:47,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,12.94,10.35,1.72,1.26,-1.69,49.381,23.975,tx rx 50%,500,6.28,400.000,97.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,25.53,0.98,3.63,1.72,0.81,0.42,0.02,-0.24,-0.46,-0.65,-0.81,-0.94,-1.05,-1.14,-1.20,-1.26,-1.30,-1.33,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,8,0,0.344,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,27.0,16.47,32.2,2025/06/19 15:17:54,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,13.71,17.71,2.64,-1.20,-0.97,48.280,22.124,tx rx 50%,500,6.28,400.000,-87.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,22.87,-2.13,0.76,-1.14,-2.01,-2.25,-2.55,-2.80,-2.96,-3.07,-3.15,-3.21,-3.25,-3.29,-3.34,-3.37,-3.38,-3.39,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,14,0,0.623,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,27.0,16.46,32.2,2025/06/19 15:18:01,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,14.30,16.03,2.19,0.33,-140.57,47.456,20.850,tx rx 50%,500,6.28,400.000,22.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,22.93,-0.50,2.33,0.61,-0.17,-0.43,-0.79,-1.16,-1.33,-1.41,-1.50,-1.61,-1.71,-1.79,-1.84,-1.90,-1.92,-1.93,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,7,0,0.350,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.35,27.0,16.46,32.5,2025/06/19 15:18:08,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,10.90,4.51,0.60,2.13,122.91,48.978,28.221,tx rx 50%,500,6.28,400.000,195.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,24.81,0.90,4.07,2.33,1.54,1.32,1.04,0.80,0.63,0.48,0.34,0.23,0.15,0.07,-0.02,-0.09,-0.15,-0.17,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,16,0,0.581,00.000000,00.000000,,0:/DATA/Slb_64All_june19_2025.rpp,1,0,13.36,27.0,16.46,32.5,2025/06/19 15:18:15,0,1,0,0.0,0.00,0.0
