,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,10.35,0.05,0.06,3.09,-11.71,53.833,32.673,tx rx 50%,500,6.28,400.000,298.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,24.02,0.86,4.52,3.10,2.50,2.35,2.16,1.99,1.83,1.70,1.59,1.50,1.40,1.34,1.28,1.21,1.16,1.11,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,8,0,0.235,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.95,38.0,3/9/2025 5:22:43 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,7.11,6.06,0.93,2.02,53.75,48.984,43.268,tx rx 50%,500,6.28,400.000,283.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,23.13,0.31,3.65,2.15,1.52,1.33,1.07,0.86,0.71,0.57,0.44,0.33,0.22,0.14,0.05,-0.01,-0.05,-0.10,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,9,0,0.201,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.95,38.0,3/9/2025 5:22:48 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,3.35,16.07,2.08,-1.52,-103.71,45.714,85.749,tx rx 50%,500,6.28,400.000,-454.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,18.31,-4.56,-0.68,-1.97,-2.41,-2.42,-2.54,-2.67,-2.75,-2.81,-2.84,-2.86,-2.87,-2.88,-2.88,-2.87,-2.86,-2.84,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,14,1,0.164,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.95,38.0,3/9/2025 5:22:55 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,3.80,19.44,2.88,-2.77,-28.81,48.238,79.857,tx rx 50%,500,6.28,400.000,-730.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,15.62,-5.78,-2.14,-3.32,-3.73,-3.74,-3.84,-3.90,-3.92,-3.94,-3.96,-3.97,-3.96,-3.93,-3.91,-3.87,-3.82,-3.79,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,6,0,0.077,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.95,38.0,3/9/2025 5:23:02 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,4.12,22.52,4.04,-3.32,-4.57,28.658,43.673,tx rx 50%,500,6.28,400.000,-805.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,12.91,-5.81,-2.74,-3.81,-4.16,-4.17,-4.26,-4.33,-4.36,-4.37,-4.38,-4.38,-4.39,-4.38,-4.35,-4.30,-4.27,-4.24,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.050,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.30,22.0,15.95,38.0,3/9/2025 5:23:09 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,3.89,5.98,1.58,2.06,37.55,29.454,47.625,tx rx 50%,500,6.28,400.000,531.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,19.65,0.50,3.52,2.29,1.75,1.59,1.35,1.16,0.99,0.86,0.74,0.61,0.51,0.45,0.38,0.32,0.26,0.20,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.057,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.95,38.0,3/9/2025 5:23:16 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,4.88,8.00,1.48,4.70,-57.28,47.673,61.336,tx rx 50%,500,6.28,400.000,963.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,26.01,4.03,6.99,5.40,4.61,4.29,3.92,3.60,3.35,3.14,2.93,2.75,2.59,2.45,2.33,2.20,2.09,1.98,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,4,0,0.057,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,38.0,3/9/2025 5:23:23 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,4.29,44.48,6.22,-35.14,665.73,31.313,45.893,tx rx 50%,500,6.28,400.000,-8196.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,-43.85,-55.73,-46.57,-43.84,-41.17,-38.71,-36.79,-35.11,-33.62,-32.35,-31.19,-30.12,-29.19,-28.35,-27.54,-26.78,-26.11,-25.45,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.053,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.94,38.0,3/9/2025 5:23:30 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,6.41,5.44,1.74,13.18,-726.49,54.036,52.961,tx rx 50%,500,6.28,400.000,2056.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,47.25,22.11,21.82,18.21,15.81,14.17,12.71,11.49,10.47,9.57,8.76,8.04,7.42,6.84,6.31,5.85,5.42,5.03,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,3,0,0.058,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,38.0,3/9/2025 5:23:37 PM,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,5.62,40.22,3.55,12.63,565.96,35.259,39.440,tx rx 50%,500,6.28,400.000,2249.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,43.98,20.10,20.46,17.17,15.03,13.58,12.23,11.08,10.15,9.34,8.59,7.93,7.37,6.92,6.49,6.04,5.64,5.32,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,2,0,0.057,00.000000,00.000000,,0:/DATA/Slb_24All_Mar.rpp,1,0,13.31,22.0,15.93,38.0,3/9/2025 5:23:44 PM,0,1,0,0.0,0.00,0.0
