,El-array,xA (m),xB (m),xM (m),xN (m),Global xA (m),Global xB (m),Global xM (m),Global xN (m),Rho (Ohm.m),Dev. M,Dev. Rho (%),M (mV/V),SP (mV),VMN (mV),IAB (mA),TX RX,Time (ms),Coef. k (m),Dev. coef. k (%),Metal factor,yA (m),yB (m),yM (m),yN (m),Global yA (m),Global yB (m),Global yM (m),Global yN (m),zA (m),zB (m),zM (m),zN (m),Global zA (m),Global zB (m),Global zM (m),Global zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Water Depth,Water resitivity,Rising PP,M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),Mdly (ms),TM1 (ms),TM2 (ms),TM3 (ms),TM4 (ms),TM5 (ms),TM6 (ms),TM7 (ms),TM8 (ms),TM9 (ms),TM10 (ms),TM11 (ms),TM12 (ms),TM13 (ms),TM14 (ms),TM15 (ms),TM16 (ms),TM17 (ms),TM18 (ms),TM19 (ms),TM20 (ms),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch,Continuous survey marker,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,3.00,1.00,2.00,0.00,3.00,1.00,2.00,34.23,0.02,0.03,0.24,36.08,49.243,9.039,tx rx 50%,500,6.28,400.000,7.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.00,false,12.76,-4.63,0.20,-0.65,-0.69,-0.42,-0.36,-0.33,-0.29,-0.27,-0.26,-0.23,-0.02,0.09,-0.03,-0.14,-0.17,-0.15,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,2,0.000,19,0,2.123,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.36,38.2,2025/09/13 15:47:28,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,1.00,4.00,2.00,3.00,1.00,4.00,2.00,3.00,35.46,27.76,3.38,-5.73,-135.01,52.020,9.218,tx rx 50%,500,6.28,400.000,-161.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,false,7.29,-10.66,-5.99,-7.00,-7.08,-6.76,-6.65,-6.55,-6.46,-6.39,-6.31,-6.23,-5.96,-5.56,-5.51,-5.71,-5.79,-5.75,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,21,0,2.312,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.36,38.3,2025/09/13 15:47:33,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,2.00,5.00,3.00,4.00,2.00,5.00,3.00,4.00,35.29,24.62,2.88,-3.39,-27.13,49.945,8.893,tx rx 50%,500,6.28,400.000,-96.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0.00,0.00,0.00,0.00,0.00,0.00,false,9.92,-7.93,-3.29,-4.42,-4.55,-4.22,-4.15,-4.12,-4.08,-4.10,-4.10,-4.02,-3.83,-3.48,-3.44,-3.69,-3.80,-3.80,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,19,0,2.132,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.36,38.3,2025/09/13 15:47:40,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,3.00,6.00,4.00,5.00,3.00,6.00,4.00,5.00,35.60,17.79,2.12,-2.79,-49.14,51.578,9.103,tx rx 50%,500,6.28,400.000,-78.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,7,5,6,0.00,0.00,0.00,0.00,0.00,0.00,false,11.37,-6.87,-2.37,-3.46,-3.71,-3.54,-3.54,-3.57,-3.58,-3.58,-3.58,-3.55,-3.39,-3.22,-3.25,-3.40,-3.48,-3.50,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,18,0,1.942,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.36,38.3,2025/09/13 15:47:47,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,4.00,7.00,5.00,6.00,4.00,7.00,5.00,6.00,32.87,21.45,2.69,-4.89,-109.70,49.314,9.427,tx rx 50%,500,6.28,400.000,-148.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,8,6,7,0.00,0.00,0.00,0.00,0.00,0.00,false,6.68,-10.24,-5.36,-6.14,-6.13,-5.83,-5.70,-5.60,-5.48,-5.38,-5.31,-5.22,-5.03,-4.67,-4.46,-4.62,-4.77,-4.77,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,23,0,2.431,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.36,38.3,2025/09/13 15:47:54,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,5.00,8.00,6.00,7.00,5.00,8.00,6.00,7.00,33.30,10.22,1.54,-1.79,108.36,46.527,8.778,tx rx 50%,500,6.28,400.000,-53.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,9,7,8,0.00,0.00,0.00,0.00,0.00,0.00,false,13.95,-5.86,-1.46,-2.58,-2.97,-2.77,-2.67,-2.64,-2.63,-2.62,-2.61,-2.54,-2.44,-2.36,-2.38,-2.48,-2.54,-2.57,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,16,0,1.815,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.32,28.0,16.36,38.3,2025/09/13 15:48:02,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,6.00,9.00,7.00,8.00,6.00,9.00,7.00,8.00,32.20,35.33,4.29,-7.64,-124.37,45.535,8.886,tx rx 50%,500,6.28,400.000,-237.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,10,8,9,0.00,0.00,0.00,0.00,0.00,0.00,false,6.45,-12.77,-8.11,-8.95,-9.10,-8.92,-8.73,-8.57,-8.43,-8.29,-8.15,-8.05,-7.94,-7.74,-7.57,-7.56,-7.60,-7.55,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,16,0,1.855,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.32,28.0,16.36,38.4,2025/09/13 15:48:09,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,7.00,10.00,8.00,9.00,7.00,10.00,8.00,9.00,28.17,24.70,3.01,-5.00,-80.09,46.756,10.428,tx rx 50%,500,6.28,400.000,-177.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,11,9,10,0.00,0.00,0.00,0.00,0.00,0.00,false,9.26,-10.33,-5.60,-6.38,-6.41,-6.14,-6.03,-5.93,-5.84,-5.74,-5.62,-5.48,-5.27,-5.00,-4.84,-4.89,-4.94,-4.89,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,20,0,1.891,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.35,38.6,2025/09/13 15:48:16,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,8.00,11.00,9.00,10.00,8.00,11.00,9.00,10.00,24.84,22.33,3.17,-6.99,48.41,45.092,11.405,tx rx 50%,500,6.28,400.000,-281.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,12,10,11,0.00,0.00,0.00,0.00,0.00,0.00,false,7.77,-12.31,-7.68,-8.55,-8.75,-8.41,-8.13,-7.94,-7.77,-7.62,-7.46,-7.27,-7.13,-7.08,-7.04,-6.96,-6.86,-6.72,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,14,0,1.193,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.35,38.6,2025/09/13 15:48:23,0,1,0,0.0,0.00,0.0
,Mixed / non conventional,9.00,12.00,10.00,11.00,9.00,12.00,10.00,11.00,18.44,28.39,3.58,-6.48,-100.59,48.983,16.688,tx rx 50%,500,6.28,400.000,-351.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,13,11,12,0.00,0.00,0.00,0.00,0.00,0.00,false,7.80,-11.62,-7.01,-7.97,-7.96,-7.64,-7.53,-7.42,-7.31,-7.21,-7.12,-6.93,-6.59,-6.33,-6.41,-6.51,-6.47,-6.39,0.00,0.00,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,4,0.000,28,0,1.706,00.000000,00.000000,,0:/DATA/64all_sept2025.rpp,1,0,13.33,28.0,16.35,38.6,2025/09/13 15:48:30,0,1,0,0.0,0.00,0.0
